,experiment,trial,mae,ssim,hist
66,equil_1e-0.5,66,0.28543270095468,0.2498404125434668,0.918
67,equil_1e-0.5,67,0.2986348618377765,0.1702964845713203,0.874
68,equil_1e-0.5,68,0.3008423718447777,0.2770038113643228,0.92
69,equil_1e-0.5,69,0.2850105352128682,0.2567366967116687,0.935
70,equil_1e-0.5,70,0.3127685683779352,0.1743674053447369,0.882
71,equil_1e-0.5,71,0.3011863929588187,0.2468046115834298,0.906
72,equil_1e-0.5,72,0.2466759088161601,0.3713904950138559,0.974
73,equil_1e-0.5,73,0.29063041996793,0.2400785862282975,0.92
74,equil_1e-0.5,74,0.2625449914935815,0.2866419708693949,0.972
75,equil_1e-0.5,75,0.2839903050083304,0.2232159436448139,0.938
76,equil_1e-0.5,76,0.2839699319775612,0.2496084716280024,0.906
77,equil_1e-0.5,77,0.2728774784906644,0.2421866099812697,0.953
78,equil_1e-0.5,78,0.3061326331901697,0.2270689788676403,0.961
79,equil_1e-0.5,79,0.3008295663558267,0.2209302496468698,0.901
80,equil_1e-0.5,80,0.2962374081169521,0.2898233413862295,0.97
81,equil_1e-0.5,81,0.2709620702404666,0.2959832988339423,0.952
82,equil_1e-0.5,82,0.3114906412540765,0.1920607413610921,0.915
83,equil_1e-0.5,83,0.2963264406814149,0.2068558474892184,0.907
84,equil_1e-0.5,84,0.2914751344798273,0.2425127705033925,0.956
85,equil_1e-0.5,85,0.2857062626597553,0.1992353202462173,0.918
86,equil_1e-0.5,86,0.294137732679714,0.2569489964720359,0.938
87,equil_1e-0.5,87,0.3229317238846656,0.0972464952062946,0.744
88,equil_1e-0.5,88,0.2931562226565547,0.2048055976471929,0.906
89,equil_1e-0.5,89,0.2746476114531587,0.2520998669458729,0.964
90,equil_1e-0.5,90,0.2847946002779777,0.2969922551343657,0.962
91,equil_1e-0.5,91,0.2902828829239637,0.2114015457402056,0.927
92,equil_1e-0.5,92,0.2777187650288976,0.2643056588462324,0.908
93,equil_1e-0.5,93,0.2834051673939663,0.2711535380113727,0.931
94,equil_1e-0.5,94,0.2870801739435349,0.1944298984451125,0.929
95,equil_1e-0.5,95,0.3190802649655245,0.1492809118575637,0.868
96,equil_1e-0.5,96,0.3067788941748453,0.208313059777726,0.932
97,equil_1e-0.5,97,0.2943837422012993,0.1560048100486495,0.841
98,equil_1e-0.5,98,0.2712277816829513,0.3120272179375266,0.94
99,equil_1e-0.5,99,0.2645151131779318,0.2390400020662216,0.871
0,equil_1e-1.0,0,0.3859097162193311,0.2100923205956622,0.797
1,equil_1e-1.0,1,0.3921065582345512,0.2133929287619921,0.8
2,equil_1e-1.0,2,0.3828509527597999,0.2213831707828081,0.741
3,equil_1e-1.0,3,0.3754929297381219,0.2307965135783135,0.816
4,equil_1e-1.0,4,0.365529938731064,0.273043514893922,0.842
5,equil_1e-1.0,5,0.3821463148283581,0.2020286599022522,0.815
